dataset,accuracy,error,epochs,generations,hidden_size,batch_size,simulation_set_size,simulation_time,simulation_epochs,simulation_scheduler_type
ArrowHead,0.3488372093023256,,1,1,32,32,50,30,10,constant
ArrowHead,0.46511627906976744,,1,1,32,32,50,30,10,progress_check
ArrowHead,0.4418604651162791,,1,1,32,32,50,30,20,constant
ArrowHead,0.3953488372093023,,1,1,32,32,50,30,20,progress_check
ArrowHead,0.3953488372093023,,1,1,32,32,50,60,10,constant
ArrowHead,0.3023255813953488,,1,1,32,32,50,60,10,progress_check
ArrowHead,0.4883720930232558,,1,1,32,32,50,60,20,constant
ArrowHead,0.4186046511627907,,1,1,32,32,50,60,20,progress_check
ArrowHead,0.32558139534883723,,1,1,32,32,50,500,10,constant
ArrowHead,0.3023255813953488,,1,1,32,32,50,500,10,progress_check
ArrowHead,0.16279069767441862,,1,1,32,32,50,500,20,constant
ArrowHead,0.4418604651162791,,1,1,32,32,50,500,20,progress_check
ArrowHead,0.32558139534883723,,1,1,32,32,100,30,10,constant
ArrowHead,0.3953488372093023,,1,1,32,32,100,30,10,progress_check
ArrowHead,0.37209302325581395,,1,1,32,32,100,30,20,constant
ArrowHead,0.4418604651162791,,1,1,32,32,100,30,20,progress_check
ArrowHead,0.3953488372093023,,1,1,32,32,100,60,10,constant
ArrowHead,0.37209302325581395,,1,1,32,32,100,60,10,progress_check
ArrowHead,0.5116279069767442,,1,1,32,32,100,60,20,constant
ArrowHead,0.2558139534883721,,1,1,32,32,100,60,20,progress_check
ArrowHead,0.4883720930232558,,1,1,32,32,100,500,10,constant
ArrowHead,0.3488372093023256,,1,1,32,32,100,500,10,progress_check
ArrowHead,0.46511627906976744,,1,1,32,32,100,500,20,constant
ArrowHead,0.3953488372093023,,1,1,32,32,100,500,20,progress_check
ArrowHead,0.3023255813953488,,1,1,32,32,200,30,10,constant
ArrowHead,0.4186046511627907,,1,1,32,32,200,30,10,progress_check
ArrowHead,0.2558139534883721,,1,1,32,32,200,30,20,constant
ArrowHead,0.4418604651162791,,1,1,32,32,200,30,20,progress_check
ArrowHead,0.32558139534883723,,1,1,32,32,200,60,10,constant
ArrowHead,0.37209302325581395,,1,1,32,32,200,60,10,progress_check
ArrowHead,0.4418604651162791,,1,1,32,32,200,60,20,constant
ArrowHead,0.4186046511627907,,1,1,32,32,200,60,20,progress_check
ArrowHead,0.2558139534883721,,1,1,32,32,200,500,10,constant
ArrowHead,0.32558139534883723,,1,1,32,32,200,500,10,progress_check
ArrowHead,0.27906976744186046,,1,1,32,32,200,500,20,constant
ArrowHead,0.46511627906976744,,1,1,32,32,200,500,20,progress_check
