dataset,accuracy,error,epochs,generations,hidden_size,batch_size,simulation_set_size,simulation_time,simulation_epochs,simulation_scheduler_type
Coffee,0.75,,10,5,32,64,200,30,10,progress_check
Coffee,0.6666666666666666,,10,5,32,64,200,30,20,constant
Coffee,0.75,,10,5,32,64,200,30,20,progress_check
Coffee,0.5833333333333334,,10,5,32,64,200,60,10,constant
Coffee,0.8333333333333334,,10,5,32,64,200,60,10,progress_check
Coffee,0.5,,10,5,32,64,200,60,20,constant
Coffee,0.6666666666666666,,10,5,32,64,200,60,20,progress_check
Coffee,0.8333333333333334,,10,5,32,64,200,500,10,constant
Coffee,0.5833333333333334,,10,5,32,64,200,500,10,progress_check
Coffee,0.4166666666666667,,10,5,32,64,200,500,20,constant
Coffee,0.5833333333333334,,10,5,32,64,200,500,20,progress_check
Coffee,0.9166666666666666,,10,5,64,32,50,30,10,constant
Coffee,0.9166666666666666,,10,5,64,32,50,30,10,progress_check
Coffee,0.6666666666666666,,10,5,64,32,50,30,20,constant
Coffee,0.75,,10,5,64,32,50,30,20,progress_check
Coffee,0.75,,10,5,64,32,50,60,10,constant
Coffee,0.8333333333333334,,10,5,64,32,50,60,10,progress_check
Coffee,0.9166666666666666,,10,5,64,32,50,60,20,constant
Coffee,0.75,,10,5,64,32,50,60,20,progress_check
Coffee,0.75,,10,5,64,32,50,500,10,constant
Coffee,0.6666666666666666,,10,5,64,32,50,500,10,progress_check
Coffee,0.5833333333333334,,10,5,64,32,50,500,20,constant
Coffee,0.6666666666666666,,10,5,64,32,50,500,20,progress_check
Coffee,0.6666666666666666,,10,5,64,32,100,30,10,constant
Coffee,0.5833333333333334,,10,5,64,32,100,30,10,progress_check
Coffee,0.8333333333333334,,10,5,64,32,100,30,20,constant
Coffee,0.5,,10,5,64,32,100,30,20,progress_check
Coffee,0.75,,10,5,64,32,100,60,10,constant
Coffee,0.9166666666666666,,10,5,64,32,100,60,10,progress_check
Coffee,0.9166666666666666,,10,5,64,32,100,60,20,constant
Coffee,1.0,,10,5,64,32,100,60,20,progress_check
Coffee,1.0,,10,5,64,32,100,500,10,constant
Coffee,0.9166666666666666,,10,5,64,32,100,500,10,progress_check
Coffee,0.8333333333333334,,10,5,64,32,100,500,20,constant
Coffee,0.75,,10,5,64,32,100,500,20,progress_check
Coffee,0.5,,10,5,64,32,200,30,10,constant
Coffee,0.6666666666666666,,10,5,64,32,200,30,10,progress_check
Coffee,0.6666666666666666,,10,5,64,32,200,30,20,constant
Coffee,0.5833333333333334,,10,5,64,32,200,30,20,progress_check
Coffee,0.8333333333333334,,10,5,64,32,200,60,10,constant
Coffee,0.8333333333333334,,10,5,64,32,200,60,10,progress_check
Coffee,0.9166666666666666,,10,5,64,32,200,60,20,constant
Coffee,0.75,,10,5,64,32,200,60,20,progress_check
Coffee,0.6666666666666666,,10,5,64,32,200,500,10,constant
Coffee,0.6666666666666666,,10,5,64,32,200,500,10,progress_check
Coffee,0.75,,10,5,64,32,200,500,20,constant
Coffee,0.75,,10,5,64,32,200,500,20,progress_check
Coffee,0.8333333333333334,,10,5,64,64,50,30,10,constant
Coffee,0.8333333333333334,,10,5,64,64,50,30,10,progress_check
Coffee,0.75,,10,5,64,64,50,30,20,constant
Coffee,0.5833333333333334,,10,5,64,64,50,30,20,progress_check
Coffee,0.75,,10,5,64,64,50,60,10,constant
Coffee,0.5833333333333334,,10,5,64,64,50,60,10,progress_check
Coffee,0.8333333333333334,,10,5,64,64,50,60,20,constant
Coffee,0.75,,10,5,64,64,50,60,20,progress_check
Coffee,0.8333333333333334,,10,5,64,64,50,500,10,constant
Coffee,0.8333333333333334,,10,5,64,64,50,500,10,progress_check
Coffee,0.5833333333333334,,10,5,64,64,50,500,20,constant
Coffee,0.5833333333333334,,10,5,64,64,50,500,20,progress_check
Coffee,0.75,,10,5,64,64,100,30,10,constant
Coffee,0.75,,10,5,64,64,100,30,10,progress_check
Coffee,0.8333333333333334,,10,5,64,64,100,30,20,constant
Coffee,0.6666666666666666,,10,5,64,64,100,30,20,progress_check
Coffee,0.9166666666666666,,10,5,64,64,100,60,10,constant
Coffee,0.75,,10,5,64,64,100,60,10,progress_check
Coffee,0.9166666666666666,,10,5,64,64,100,60,20,constant
Coffee,0.8333333333333334,,10,5,64,64,100,60,20,progress_check
Coffee,0.8333333333333334,,10,5,64,64,100,500,10,constant
Coffee,0.75,,10,5,64,64,100,500,10,progress_check
Coffee,0.75,,10,5,64,64,100,500,20,constant
Coffee,0.5833333333333334,,10,5,64,64,100,500,20,progress_check
Coffee,0.8333333333333334,,10,5,64,64,200,30,10,constant
Coffee,0.9166666666666666,,10,5,64,64,200,30,10,progress_check
Coffee,0.8333333333333334,,10,5,64,64,200,30,20,constant
Coffee,0.9166666666666666,,10,5,64,64,200,30,20,progress_check
Coffee,0.6666666666666666,,10,5,64,64,200,60,10,constant
Coffee,0.9166666666666666,,10,5,64,64,200,60,10,progress_check
Coffee,0.6666666666666666,,10,5,64,64,200,60,20,constant
Coffee,0.75,,10,5,64,64,200,60,20,progress_check
Coffee,1.0,,10,5,64,64,200,500,10,constant
Coffee,0.9166666666666666,,10,5,64,64,200,500,10,progress_check
Coffee,0.8333333333333334,,10,5,64,64,200,500,20,constant
Coffee,1.0,,10,5,64,64,200,500,20,progress_check
Beef,0.3333333333333333,,10,5,32,32,50,30,10,constant
Beef,0.25,,10,5,32,32,50,30,10,progress_check
Beef,0.3333333333333333,,10,5,32,32,50,30,20,constant
Beef,0.4166666666666667,,10,5,32,32,50,30,20,progress_check
Beef,0.1666666666666666,,10,5,32,32,50,60,10,constant
Beef,0.25,,10,5,32,32,50,60,10,progress_check
Beef,0.3333333333333333,,10,5,32,32,50,60,20,constant
Beef,0.3333333333333333,,10,5,32,32,50,60,20,progress_check
Beef,0.3333333333333333,,10,5,32,32,50,500,10,constant
Beef,0.1666666666666666,,10,5,32,32,50,500,10,progress_check
Beef,0.4166666666666667,,10,5,32,32,50,500,20,constant
Beef,0.3333333333333333,,10,5,32,32,50,500,20,progress_check
Beef,0.25,,10,5,32,32,100,30,10,constant
Beef,0.25,,10,5,32,32,100,30,10,progress_check
Beef,0.1666666666666666,,10,5,32,32,100,30,20,constant
Beef,0.1666666666666666,,10,5,32,32,100,30,20,progress_check
Beef,0.4166666666666667,,10,5,32,32,100,60,10,constant
Beef,0.25,,10,5,32,32,100,60,10,progress_check
Beef,0.25,,10,5,32,32,100,60,20,constant
Beef,0.4166666666666667,,10,5,32,32,100,60,20,progress_check
Beef,0.1666666666666666,,10,5,32,32,100,500,10,constant
Beef,0.0,,10,5,32,32,100,500,10,progress_check
Beef,0.1666666666666666,,10,5,32,32,100,500,20,constant
Beef,0.4166666666666667,,10,5,32,32,100,500,20,progress_check
Beef,0.3333333333333333,,10,5,32,32,200,30,10,constant
Beef,0.4166666666666667,,10,5,32,32,200,30,10,progress_check
Beef,0.4166666666666667,,10,5,32,32,200,30,20,constant
Beef,0.6666666666666666,,10,5,32,32,200,30,20,progress_check
Beef,0.1666666666666666,,10,5,32,32,200,60,10,constant
Beef,0.4166666666666667,,10,5,32,32,200,60,10,progress_check
Beef,0.5,,10,5,32,32,200,60,20,constant
Beef,0.25,,10,5,32,32,200,60,20,progress_check
Beef,0.1666666666666666,,10,5,32,32,200,500,10,constant
Beef,0.1666666666666666,,10,5,32,32,200,500,10,progress_check
Beef,0.25,,10,5,32,32,200,500,20,constant
Beef,0.5,,10,5,32,32,200,500,20,progress_check
Beef,0.3333333333333333,,10,5,32,64,50,30,10,constant
Beef,0.1666666666666666,,10,5,32,64,50,30,10,progress_check
Beef,0.5,,10,5,32,64,50,30,20,constant
Beef,0.25,,10,5,32,64,50,30,20,progress_check
Beef,0.1666666666666666,,10,5,32,64,50,60,10,constant
Beef,0.25,,10,5,32,64,50,60,10,progress_check
Beef,0.4166666666666667,,10,5,32,64,50,60,20,constant
Beef,0.4166666666666667,,10,5,32,64,50,60,20,progress_check
Beef,0.3333333333333333,,10,5,32,64,50,500,10,constant
Beef,0.3333333333333333,,10,5,32,64,50,500,10,progress_check
Beef,0.25,,10,5,32,64,50,500,20,constant
Beef,0.1666666666666666,,10,5,32,64,50,500,20,progress_check
Beef,0.4166666666666667,,10,5,32,64,100,30,10,constant
Beef,0.5,,10,5,32,64,100,30,10,progress_check
Beef,0.4166666666666667,,10,5,32,64,100,30,20,constant
Beef,0.0833333333333333,,10,5,32,64,100,30,20,progress_check
Beef,0.25,,10,5,32,64,100,60,10,constant
Beef,0.25,,10,5,32,64,100,60,10,progress_check
Beef,0.3333333333333333,,10,5,32,64,100,60,20,constant
Beef,0.3333333333333333,,10,5,32,64,100,60,20,progress_check
Beef,0.3333333333333333,,10,5,32,64,100,500,10,constant
Beef,0.25,,10,5,32,64,100,500,10,progress_check
Beef,0.25,,10,5,32,64,100,500,20,constant
Beef,0.25,,10,5,32,64,100,500,20,progress_check
Beef,0.3333333333333333,,10,5,32,64,200,30,10,constant
Beef,0.25,,10,5,32,64,200,30,10,progress_check
Beef,0.1666666666666666,,10,5,32,64,200,30,20,constant
Beef,0.25,,10,5,32,64,200,30,20,progress_check
Beef,0.25,,10,5,32,64,200,60,10,constant
Beef,0.3333333333333333,,10,5,32,64,200,60,10,progress_check
Beef,0.1666666666666666,,10,5,32,64,200,60,20,constant
Beef,0.5,,10,5,32,64,200,60,20,progress_check
Beef,0.3333333333333333,,10,5,32,64,200,500,10,constant
Beef,0.1666666666666666,,10,5,32,64,200,500,10,progress_check
Beef,0.25,,10,5,32,64,200,500,20,constant
Beef,0.16666666666666666,,10,5,32,64,200,500,20,progress_check
Beef,0.25,,10,5,64,32,50,30,10,constant
Beef,0.4166666666666667,,10,5,64,32,50,30,10,progress_check
Beef,0.08333333333333333,,10,5,64,32,50,30,20,constant
Beef,0.3333333333333333,,10,5,64,32,50,30,20,progress_check
Beef,0.4166666666666667,,10,5,64,32,50,60,10,constant
Beef,0.5,,10,5,64,32,50,60,10,progress_check
Beef,0.3333333333333333,,10,5,64,32,50,60,20,constant
Beef,0.3333333333333333,,10,5,64,32,50,60,20,progress_check
Beef,0.25,,10,5,64,32,50,500,10,constant
Beef,0.3333333333333333,,10,5,64,32,50,500,10,progress_check
Beef,0.4166666666666667,,10,5,64,32,50,500,20,constant
Beef,0.4166666666666667,,10,5,64,32,50,500,20,progress_check
Beef,0.5,,10,5,64,32,100,30,10,constant
Beef,0.5,,10,5,64,32,100,30,10,progress_check
Beef,0.25,,10,5,64,32,100,30,20,constant
Beef,0.25,,10,5,64,32,100,30,20,progress_check
Beef,0.16666666666666666,,10,5,64,32,100,60,10,constant
Beef,0.08333333333333333,,10,5,64,32,100,60,10,progress_check
Beef,0.16666666666666666,,10,5,64,32,100,60,20,constant
Beef,0.25,,10,5,64,32,100,60,20,progress_check
Beef,0.4166666666666667,,10,5,64,32,100,500,10,constant
Beef,0.4166666666666667,,10,5,64,32,100,500,10,progress_check
Beef,0.25,,10,5,64,32,100,500,20,constant
Beef,0.4166666666666667,,10,5,64,32,100,500,20,progress_check
Beef,0.3333333333333333,,10,5,64,32,200,30,10,constant
Beef,0.3333333333333333,,10,5,64,32,200,30,10,progress_check
Beef,0.16666666666666666,,10,5,64,32,200,30,20,constant
Beef,0.4166666666666667,,10,5,64,32,200,30,20,progress_check
Beef,0.4166666666666667,,10,5,64,32,200,60,10,constant
Beef,0.08333333333333333,,10,5,64,32,200,60,10,progress_check
Beef,0.3333333333333333,,10,5,64,32,200,60,20,constant
Beef,0.25,,10,5,64,32,200,60,20,progress_check
Beef,0.3333333333333333,,10,5,64,32,200,500,10,constant
Beef,0.16666666666666666,,10,5,64,32,200,500,10,progress_check
Beef,0.4166666666666667,,10,5,64,32,200,500,20,constant
Beef,0.25,,10,5,64,32,200,500,20,progress_check
Beef,0.5,,10,5,64,64,50,30,10,constant
Beef,0.4166666666666667,,10,5,64,64,50,30,10,progress_check
Beef,0.16666666666666666,,10,5,64,64,50,30,20,constant
Beef,0.25,,10,5,64,64,50,30,20,progress_check
Beef,0.5,,10,5,64,64,50,60,10,constant
Beef,0.3333333333333333,,10,5,64,64,50,60,10,progress_check
Beef,0.25,,10,5,64,64,50,60,20,constant
Beef,0.3333333333333333,,10,5,64,64,50,60,20,progress_check
Beef,0.5,,10,5,64,64,50,500,10,constant
Beef,0.5,,10,5,64,64,50,500,10,progress_check
Beef,0.3333333333333333,,10,5,64,64,50,500,20,constant
Beef,0.16666666666666666,,10,5,64,64,50,500,20,progress_check
Beef,0.4166666666666667,,10,5,64,64,100,30,10,constant
Beef,0.08333333333333333,,10,5,64,64,100,30,10,progress_check
Beef,0.4166666666666667,,10,5,64,64,100,30,20,constant
Beef,0.3333333333333333,,10,5,64,64,100,30,20,progress_check
Beef,0.16666666666666666,,10,5,64,64,100,60,10,constant
Beef,0.16666666666666666,,10,5,64,64,100,60,10,progress_check
Beef,0.16666666666666666,,10,5,64,64,100,60,20,constant
Beef,0.25,,10,5,64,64,100,60,20,progress_check
