dataset,accuracy,error,epochs,generations,hidden_size,batch_size,simulation_set_size,simulation_alg,activation_fun,optimizer
ArrowHead,0.37209302325581395,,5,3,32,16,50,random,relu,adam
ArrowHead,0.4883720930232558,,5,3,32,16,50,random,relu,sgd
ArrowHead,0.37209302325581395,,5,3,32,16,50,random,sigmoid,adam
ArrowHead,0.3488372093023256,,5,3,32,16,50,random,sigmoid,sgd
ArrowHead,0.27906976744186046,,5,3,32,16,50,random,tanh,adam
ArrowHead,0.4418604651162791,,5,3,32,16,50,random,tanh,sgd
ArrowHead,0.3953488372093023,,5,3,32,16,50,montecarlo,relu,adam
ArrowHead,0.46511627906976744,,5,3,32,16,50,montecarlo,relu,sgd
ArrowHead,0.5116279069767442,,5,3,32,16,50,montecarlo,sigmoid,adam
ArrowHead,0.4883720930232558,,5,3,32,16,50,montecarlo,sigmoid,sgd
ArrowHead,0.5581395348837209,,5,3,32,16,50,montecarlo,tanh,adam
ArrowHead,0.46511627906976744,,5,3,32,16,50,montecarlo,tanh,sgd
ArrowHead,0.4186046511627907,,5,3,32,16,100,random,relu,adam
ArrowHead,0.37209302325581395,,5,3,32,16,100,random,relu,sgd
ArrowHead,0.37209302325581395,,5,3,32,16,100,random,sigmoid,adam
ArrowHead,0.3953488372093023,,5,3,32,16,100,random,sigmoid,sgd
ArrowHead,0.3488372093023256,,5,3,32,16,100,random,tanh,adam
ArrowHead,0.5581395348837209,,5,3,32,16,100,random,tanh,sgd
ArrowHead,0.4883720930232558,,5,3,32,16,100,montecarlo,relu,adam
ArrowHead,0.4186046511627907,,5,3,32,16,100,montecarlo,relu,sgd
ArrowHead,0.5581395348837209,,5,3,32,16,100,montecarlo,sigmoid,adam
ArrowHead,0.3023255813953488,,5,3,32,16,100,montecarlo,sigmoid,sgd
ArrowHead,0.32558139534883723,,5,3,32,16,100,montecarlo,tanh,adam
ArrowHead,0.4186046511627907,,5,3,32,16,100,montecarlo,tanh,sgd
ArrowHead,0.3953488372093023,,5,3,32,16,200,random,relu,adam
ArrowHead,0.37209302325581395,,5,3,32,16,200,random,relu,sgd
ArrowHead,0.3953488372093023,,5,3,32,16,200,random,sigmoid,adam
ArrowHead,0.3488372093023256,,5,3,32,16,200,random,sigmoid,sgd
ArrowHead,0.5116279069767442,,5,3,32,16,200,random,tanh,adam
ArrowHead,0.4418604651162791,,5,3,32,16,200,random,tanh,sgd
ArrowHead,0.4418604651162791,,5,3,32,16,200,montecarlo,relu,adam
ArrowHead,0.4186046511627907,,5,3,32,16,200,montecarlo,relu,sgd
ArrowHead,0.4186046511627907,,5,3,32,16,200,montecarlo,sigmoid,adam
ArrowHead,0.37209302325581395,,5,3,32,16,200,montecarlo,sigmoid,sgd
ArrowHead,0.4186046511627907,,5,3,32,16,200,montecarlo,tanh,adam
ArrowHead,0.3488372093023256,,5,3,32,16,200,montecarlo,tanh,sgd
ArrowHead,0.4418604651162791,,5,3,32,32,50,random,relu,adam
ArrowHead,0.3953488372093023,,5,3,32,32,50,random,relu,sgd
ArrowHead,0.4186046511627907,,5,3,32,32,50,random,sigmoid,adam
